state1,state2,count,prob
1.0,1.0,12635342,0.072218572811012
1.0,2.0,11625632,0.06644747337001491
0.0,2.0,9237924,0.05280028724324163
1.0,3.0,8575368,0.04901338153642555
0.0,3.0,7825874,0.044729572913721344
2.0,1.0,7552738,0.04316843653108061
1.0,4.0,6164054,0.03523127293349161
2.0,2.0,6103894,0.03488742237999567
0.0,4.0,5963370,0.03408424327129449
0.0,1.0,5257820,0.03005160101698831
3.0,1.0,4715472,0.02695175626985707
0.0,5.0,4377232,0.02501851140259533
1.0,5.0,4372276,0.024990184884258793
2.0,3.0,4134674,0.023632146665978508
1.0,0.0,3755566,0.02146531661885852
3.0,2.0,3601094,0.020582416308026995
0.0,6.0,3139746,0.01794553523830884
1.0,6.0,3064880,0.017517631057158124
2.0,0.0,3021468,0.017269505388468536
4.0,1.0,2964572,0.016944310556492058
2.0,4.0,2801522,0.016012381820662388
3.0,3.0,2305292,0.013176129158406909
0.0,7.0,2216682,0.01266966975772082
4.0,2.0,2187734,0.012504214541254721
1.0,7.0,2124292,0.01214160538542212
3.0,0.0,2107562,0.012045983381432973
2.0,5.0,1904660,0.010886276516316068
5.0,1.0,1850444,0.010576399494900912
0.0,8.0,1545148,0.008831449385524315
3.0,4.0,1502066,0.008585209865150111
